split,experiment,model,n_runs_current,n_observations_current,accuracy_mean_current,accuracy_std_current,balanced_accuracy_mean_current,balanced_accuracy_std_current,auc_mean_current,auc_std_current,precision_mean_current,precision_std_current,recall_mean_current,recall_std_current,f1_mean_current,f1_std_current,n_runs_archived,n_observations_archived,accuracy_mean_archived,accuracy_std_archived,balanced_accuracy_mean_archived,balanced_accuracy_std_archived,auc_mean_archived,auc_std_archived,precision_mean_archived,precision_std_archived,recall_mean_archived,recall_std_archived,f1_mean_archived,f1_std_archived,accuracy_mean_delta,accuracy_std_delta,balanced_accuracy_mean_delta,balanced_accuracy_std_delta,auc_mean_delta,auc_std_delta,precision_mean_delta,precision_std_delta,recall_mean_delta,recall_std_delta,f1_mean_delta,f1_std_delta
test,A,logistic_regression,1,63,0.4126984126984127,,0.46071428571428574,,0.5581632653061225,,0.25,,0.02857142857142857,,0.05128205128205128,,1,63,0.4126984126984127,,0.46071428571428574,,0.5581632653061225,,0.25,,0.02857142857142857,,0.05128205128205128,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
test,A,random_forest,3,63,0.4603174603174603,0.0,0.5035714285714286,0.0,0.5717687074829931,0.030275930355746515,0.5714285714285714,0.0,0.11428571428571428,0.0,0.19047619047619047,0.0,3,63,0.4708994708994709,0.009164289987136916,0.5130952380952382,0.008247860988423259,0.5622448979591836,0.025077970872335736,0.6071428571428571,0.03092947870658711,0.13333333333333333,0.01649572197684645,0.21853082318198594,0.024296024617060666,-0.010582010582010581,-0.009164289987136916,-0.009523809523809601,-0.008247860988423259,0.00952380952380949,0.005197959483410779,-0.0357142857142857,-0.03092947870658711,-0.01904761904761905,-0.01649572197684645,-0.028054632705795474,-0.024296024617060666
test,B,logistic_regression,1,63,0.4126984126984127,,0.45357142857142857,,0.5336734693877551,,0.375,,0.08571428571428572,,0.13953488372093023,,1,63,0.4126984126984127,,0.45357142857142857,,0.5336734693877551,,0.375,,0.08571428571428572,,0.13953488372093023,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
test,B,random_forest,3,63,0.41269841269841273,0.031746031746031744,0.4488095238095238,0.03037464481469777,0.5537414965986395,0.013854021669670927,0.39999999999999997,0.1,0.12380952380952381,0.04364357804719848,0.18881008668242708,0.061736688297138465,3,63,0.4021164021164021,0.009164289987136916,0.4380952380952381,0.010309826235529026,0.5445578231292517,0.008310742668619503,0.3757575757575758,0.020994555243259126,0.11428571428571428,0.0,0.17520128824476652,0.0022313053881724736,0.010582010582010637,0.022581741758894828,0.010714285714285732,0.020064818579168746,0.009183673469387754,0.0055432790010514245,0.024242424242424176,0.07900544475674087,0.009523809523809532,0.04364357804719848,0.013608798437660552,0.05950538290896599
test,C,logistic_regression,1,63,0.38095238095238093,,0.4107142857142857,,0.4775510204081633,,0.35714285714285715,,0.14285714285714285,,0.20408163265306123,,1,63,0.38095238095238093,,0.4107142857142857,,0.4775510204081633,,0.35714285714285715,,0.14285714285714285,,0.20408163265306123,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
test,C,random_forest,3,63,0.4021164021164021,0.024246432248443597,0.4380952380952381,0.021527549190506107,0.47006802721088436,0.003863202956326712,0.36495726495726494,0.08528612681772801,0.11428571428571428,0.04948716593053935,0.1732323232323232,0.0665000212882954,3,63,0.3968253968253968,0.015873015873015872,0.43214285714285716,0.014285714285714263,0.4874149659863945,0.012594223524880054,0.3601010101010101,0.05841362701667079,0.11428571428571428,0.028571428571428567,0.17333744475280088,0.03971944018749161,0.005291005291005291,0.008373416375427725,0.005952380952380931,0.007241834904791845,-0.017346938775510135,-0.008731020568553342,0.004856254856254849,0.02687249980105722,0.0,0.02091573735911078,-0.00010512152047767453,0.026780581100803787
test,baseline,majority_class,1,63,0.5555555555555556,,0.5,,0.5,,0.5555555555555556,,1.0,,0.7142857142857143,,1,63,0.5555555555555556,,0.5,,0.5,,0.5555555555555556,,1.0,,0.7142857142857143,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
test,baseline,previous_direction,1,63,0.5396825396825397,,0.5321428571428571,,0.5321428571428571,,0.5833333333333334,,0.6,,0.5915492957746479,,1,63,0.5396825396825397,,0.5321428571428571,,0.5321428571428571,,0.5833333333333334,,0.6,,0.5915492957746479,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
validation,A,logistic_regression,1,63,0.49206349206349204,,0.5151515151515151,,0.5818181818181818,,1.0,,0.030303030303030304,,0.058823529411764705,,1,63,0.49206349206349204,,0.5151515151515151,,0.5818181818181818,,1.0,,0.030303030303030304,,0.058823529411764705,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
validation,A,random_forest,3,63,0.4920634920634921,0.015873015873015872,0.5126262626262627,0.01668960771904879,0.47542087542087536,0.01418943266377474,0.6388888888888888,0.1272937693043289,0.08080808080808081,0.017495462702715934,0.1423731423731424,0.02739114724777232,3,63,0.49206349206349204,0.027492869961410746,0.5131313131313132,0.02711796718920971,0.4774410774410775,0.011965896056509684,0.611111111111111,0.2405626121623441,0.0707070707070707,0.03499092540543187,0.12662662662662663,0.061549353021716866,5.551115123125783e-17,-0.011619854088394874,-0.0005050505050505638,-0.010428359470160919,-0.0020202020202021442,0.002223536607265056,0.02777777777777779,-0.1132688428580152,0.01010101010101011,-0.017495462702715934,0.015746515746515755,-0.034158205773944544
