split,experiment,model,seed,n_observations,accuracy,balanced_accuracy,auc,precision,recall,f1
test,A,logistic_regression,42.0,63,0.4126984126984127,0.46071428571428574,0.5581632653061225,0.25,0.02857142857142857,0.05128205128205128
test,A,random_forest,0.0,63,0.4603174603174603,0.5035714285714286,0.5755102040816327,0.5714285714285714,0.11428571428571428,0.19047619047619047
test,A,random_forest,1.0,63,0.4603174603174603,0.5035714285714286,0.6,0.5714285714285714,0.11428571428571428,0.19047619047619047
test,A,random_forest,2.0,63,0.4603174603174603,0.5035714285714286,0.5397959183673469,0.5714285714285714,0.11428571428571428,0.19047619047619047
test,B,logistic_regression,42.0,63,0.4126984126984127,0.45357142857142857,0.5336734693877551,0.375,0.08571428571428572,0.13953488372093023
test,B,random_forest,0.0,63,0.4126984126984127,0.45,0.5377551020408163,0.4,0.11428571428571428,0.17777777777777778
test,B,random_forest,1.0,63,0.4444444444444444,0.47857142857142854,0.5612244897959183,0.5,0.17142857142857143,0.2553191489361702
test,B,random_forest,2.0,63,0.38095238095238093,0.41785714285714287,0.5622448979591836,0.3,0.08571428571428572,0.13333333333333333
test,C,logistic_regression,42.0,63,0.38095238095238093,0.4107142857142857,0.4775510204081633,0.35714285714285715,0.14285714285714285,0.20408163265306123
test,C,random_forest,0.0,63,0.38095238095238093,0.41785714285714287,0.46836734693877546,0.3,0.08571428571428572,0.13333333333333333
test,C,random_forest,1.0,63,0.42857142857142855,0.46071428571428574,0.4673469387755102,0.46153846153846156,0.17142857142857143,0.25
test,C,random_forest,2.0,63,0.3968253968253968,0.4357142857142857,0.4744897959183673,0.3333333333333333,0.08571428571428572,0.13636363636363635
test,baseline,majority_class,,63,0.5555555555555556,0.5,0.5,0.5555555555555556,1.0,0.7142857142857143
test,baseline,previous_direction,,63,0.5396825396825397,0.5321428571428571,0.5321428571428571,0.5833333333333334,0.6,0.5915492957746479
validation,A,logistic_regression,42.0,63,0.49206349206349204,0.5151515151515151,0.5818181818181818,1.0,0.030303030303030304,0.058823529411764705
validation,A,random_forest,0.0,63,0.49206349206349204,0.5136363636363637,0.47676767676767673,0.6666666666666666,0.06060606060606061,0.1111111111111111
validation,A,random_forest,1.0,63,0.5079365079365079,0.5287878787878788,0.4888888888888889,0.75,0.09090909090909091,0.16216216216216217
validation,A,random_forest,2.0,63,0.47619047619047616,0.4954545454545455,0.4606060606060606,0.5,0.09090909090909091,0.15384615384615385
validation,B,logistic_regression,42.0,63,0.5555555555555556,0.5757575757575758,0.593939393939394,1.0,0.15151515151515152,0.2631578947368421
validation,B,random_forest,0.0,63,0.47619047619047616,0.49242424242424243,0.44545454545454544,0.5,0.15151515151515152,0.23255813953488372
validation,B,random_forest,1.0,63,0.5396825396825397,0.5575757575757576,0.495959595959596,0.75,0.18181818181818182,0.2926829268292683
validation,B,random_forest,2.0,63,0.4603174603174603,0.47575757575757577,0.46565656565656566,0.45454545454545453,0.15151515151515152,0.22727272727272727
validation,C,logistic_regression,42.0,63,0.5555555555555556,0.5742424242424242,0.6121212121212121,0.8571428571428571,0.18181818181818182,0.3
validation,C,random_forest,0.0,63,0.5396825396825397,0.556060606060606,0.47979797979797983,0.7,0.21212121212121213,0.32558139534883723
validation,C,random_forest,1.0,63,0.5079365079365079,0.5257575757575758,0.4585858585858586,0.625,0.15151515151515152,0.24390243902439024
validation,C,random_forest,2.0,63,0.5079365079365079,0.5242424242424243,0.45959595959595956,0.6,0.18181818181818182,0.27906976744186046
validation,baseline,majority_class,,63,0.5238095238095238,0.5,0.5,0.5238095238095238,1.0,0.6875
validation,baseline,previous_direction,,63,0.5555555555555556,0.5545454545454546,0.5545454545454546,0.5757575757575758,0.5757575757575758,0.5757575757575758
