     split experiment               model  seed  accuracy  balanced_accuracy      auc  precision   recall       f1
validation   baseline      majority_class   NaN  0.523810           0.500000 0.500000   0.523810 1.000000 0.687500
validation   baseline  previous_direction   NaN  0.555556           0.554545 0.554545   0.575758 0.575758 0.575758
      test   baseline      majority_class   NaN  0.555556           0.500000 0.500000   0.555556 1.000000 0.714286
      test   baseline  previous_direction   NaN  0.539683           0.532143 0.532143   0.583333 0.600000 0.591549
validation          A logistic_regression  42.0  0.492063           0.515152 0.581818   1.000000 0.030303 0.058824
validation          A       random_forest   0.0  0.492063           0.513636 0.476768   0.666667 0.060606 0.111111
validation          A       random_forest   1.0  0.507937           0.528788 0.488889   0.750000 0.090909 0.162162
validation          A       random_forest   2.0  0.476190           0.495455 0.460606   0.500000 0.090909 0.153846
      test          A logistic_regression  42.0  0.412698           0.460714 0.558163   0.250000 0.028571 0.051282
      test          A       random_forest   0.0  0.460317           0.503571 0.575510   0.571429 0.114286 0.190476
      test          A       random_forest   1.0  0.460317           0.503571 0.600000   0.571429 0.114286 0.190476
      test          A       random_forest   2.0  0.460317           0.503571 0.539796   0.571429 0.114286 0.190476
validation          B logistic_regression  42.0  0.555556           0.575758 0.593939   1.000000 0.151515 0.263158
validation          B       random_forest   0.0  0.476190           0.492424 0.445455   0.500000 0.151515 0.232558
validation          B       random_forest   1.0  0.539683           0.557576 0.495960   0.750000 0.181818 0.292683
validation          B       random_forest   2.0  0.460317           0.475758 0.465657   0.454545 0.151515 0.227273
      test          B logistic_regression  42.0  0.412698           0.453571 0.533673   0.375000 0.085714 0.139535
      test          B       random_forest   0.0  0.412698           0.450000 0.537755   0.400000 0.114286 0.177778
      test          B       random_forest   1.0  0.444444           0.478571 0.561224   0.500000 0.171429 0.255319
      test          B       random_forest   2.0  0.380952           0.417857 0.562245   0.300000 0.085714 0.133333
validation          C logistic_regression  42.0  0.555556           0.574242 0.612121   0.857143 0.181818 0.300000
validation          C       random_forest   0.0  0.539683           0.556061 0.479798   0.700000 0.212121 0.325581
validation          C       random_forest   1.0  0.507937           0.525758 0.458586   0.625000 0.151515 0.243902
validation          C       random_forest   2.0  0.507937           0.524242 0.459596   0.600000 0.181818 0.279070
      test          C logistic_regression  42.0  0.380952           0.410714 0.477551   0.357143 0.142857 0.204082
      test          C       random_forest   0.0  0.380952           0.417857 0.468367   0.300000 0.085714 0.133333
      test          C       random_forest   1.0  0.428571           0.460714 0.467347   0.461538 0.171429 0.250000
      test          C       random_forest   2.0  0.396825           0.435714 0.474490   0.333333 0.085714 0.136364
