split,experiment,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
test,A,logistic_regression,0.4126984126984127,,0.46071428571428574,,0.5581632653061225,,0.25,,0.02857142857142857,,0.05128205128205128,
test,A,random_forest,0.4603174603174603,0.0,0.5035714285714286,0.0,0.5717687074829931,0.030275930355746498,0.5714285714285714,0.0,0.11428571428571428,0.0,0.19047619047619047,0.0
test,B,logistic_regression,0.4126984126984127,,0.45357142857142857,,0.5336734693877551,,0.375,,0.08571428571428572,,0.13953488372093023,
test,B,random_forest,0.41269841269841273,0.031746031746031744,0.4488095238095238,0.030374644814697777,0.5537414965986395,0.013854021669670919,0.39999999999999997,0.1,0.12380952380952381,0.04364357804719848,0.18881008668242713,0.06173668829713846
test,C,logistic_regression,0.38095238095238093,,0.4107142857142857,,0.4775510204081633,,0.35714285714285715,,0.14285714285714285,,0.20408163265306123,
test,C,random_forest,0.4021164021164021,0.024246432248443583,0.4380952380952381,0.02152754919050612,0.4700680272108843,0.0038632029563266898,0.364957264957265,0.08528612681772801,0.11428571428571428,0.049487165930539354,0.1732323232323232,0.0665000212882954
test,baseline,majority_class,0.5555555555555556,,0.5,,0.5,,0.5555555555555556,,1.0,,0.7142857142857143,
test,baseline,previous_direction,0.5396825396825397,,0.5321428571428571,,0.5321428571428571,,0.5833333333333334,,0.6,,0.5915492957746479,
validation,A,logistic_regression,0.49206349206349204,,0.5151515151515151,,0.5818181818181818,,1.0,,0.030303030303030304,,0.058823529411764705,
validation,A,random_forest,0.4920634920634921,0.015873015873015872,0.5126262626262627,0.01668960771904879,0.47542087542087536,0.014189432663774747,0.6388888888888888,0.12729376930432887,0.08080808080808081,0.017495462702715934,0.1423731423731424,0.02739114724777232
validation,B,logistic_regression,0.5555555555555556,,0.5757575757575758,,0.593939393939394,,1.0,,0.15151515151515152,,0.2631578947368421,
validation,B,random_forest,0.49206349206349204,0.0419960525565808,0.5085858585858586,0.04323716106227171,0.46902356902356906,0.025420317963874593,0.5681818181818182,0.1590909090909091,0.16161616161616163,0.01749546270271593,0.2508379312122931,0.03633506074487482
validation,C,logistic_regression,0.5555555555555556,,0.5742424242424242,,0.6121212121212121,,0.8571428571428571,,0.18181818181818182,,0.3,
validation,C,random_forest,0.5185185185185185,0.0183285799742738,0.5353535353535354,0.017948844084764475,0.465993265993266,0.011965896056509703,0.6416666666666666,0.052041649986653296,0.1818181818181818,0.030303030303030304,0.2828512006050293,0.040970567534980094
validation,baseline,majority_class,0.5238095238095238,,0.5,,0.5,,0.5238095238095238,,1.0,,0.6875,
validation,baseline,previous_direction,0.5555555555555556,,0.5545454545454546,,0.5545454545454546,,0.5757575757575758,,0.5757575757575758,,0.5757575757575758,
