split,experiment,model,seed,accuracy,balanced_accuracy,auc,precision,recall,f1
validation,baseline,majority_class,,0.5238095238095238,0.5,0.5,0.5238095238095238,1.0,0.6875
validation,baseline,previous_direction,,0.5555555555555556,0.5545454545454546,0.5545454545454546,0.5757575757575758,0.5757575757575758,0.5757575757575758
test,baseline,majority_class,,0.5555555555555556,0.5,0.5,0.5555555555555556,1.0,0.7142857142857143
test,baseline,previous_direction,,0.5396825396825397,0.5321428571428571,0.5321428571428571,0.5833333333333334,0.6,0.5915492957746479
validation,A,logistic_regression,42.0,0.49206349206349204,0.5151515151515151,0.5818181818181818,1.0,0.030303030303030304,0.058823529411764705
validation,A,random_forest,0.0,0.4603174603174603,0.4818181818181818,0.48383838383838385,0.3333333333333333,0.030303030303030304,0.05555555555555555
validation,A,random_forest,1.0,0.5079365079365079,0.5287878787878788,0.4636363636363636,0.75,0.09090909090909091,0.16216216216216217
validation,A,random_forest,2.0,0.5079365079365079,0.5287878787878788,0.48484848484848486,0.75,0.09090909090909091,0.16216216216216217
test,A,logistic_regression,42.0,0.4126984126984127,0.46071428571428574,0.5581632653061225,0.25,0.02857142857142857,0.05128205128205128
test,A,random_forest,0.0,0.47619047619047616,0.5178571428571429,0.5336734693877551,0.625,0.14285714285714285,0.23255813953488372
test,A,random_forest,1.0,0.47619047619047616,0.5178571428571429,0.5724489795918367,0.625,0.14285714285714285,0.23255813953488372
test,A,random_forest,2.0,0.4603174603174603,0.5035714285714286,0.5806122448979592,0.5714285714285714,0.11428571428571428,0.19047619047619047
validation,B,logistic_regression,42.0,0.5555555555555556,0.5757575757575758,0.593939393939394,1.0,0.15151515151515152,0.2631578947368421
validation,B,random_forest,0.0,0.47619047619047616,0.49242424242424243,0.47070707070707074,0.5,0.15151515151515152,0.23255813953488372
validation,B,random_forest,1.0,0.5079365079365079,0.5227272727272727,0.4505050505050505,0.5833333333333334,0.21212121212121213,0.3111111111111111
validation,B,random_forest,2.0,0.5238095238095238,0.5409090909090909,0.4858585858585858,0.6666666666666666,0.18181818181818182,0.2857142857142857
test,B,logistic_regression,42.0,0.4126984126984127,0.45357142857142857,0.5336734693877551,0.375,0.08571428571428572,0.13953488372093023
test,B,random_forest,0.0,0.3968253968253968,0.43214285714285716,0.5408163265306123,0.36363636363636365,0.11428571428571428,0.17391304347826086
test,B,random_forest,1.0,0.3968253968253968,0.43214285714285716,0.5387755102040817,0.36363636363636365,0.11428571428571428,0.17391304347826086
test,B,random_forest,2.0,0.4126984126984127,0.45,0.5540816326530613,0.4,0.11428571428571428,0.17777777777777778
validation,C,logistic_regression,42.0,0.5555555555555556,0.5742424242424242,0.6121212121212121,0.8571428571428571,0.18181818181818182,0.3
validation,C,random_forest,0.0,0.5079365079365079,0.5227272727272727,0.46464646464646464,0.5833333333333334,0.21212121212121213,0.3111111111111111
validation,C,random_forest,1.0,0.5396825396825397,0.556060606060606,0.4696969696969697,0.7,0.21212121212121213,0.32558139534883723
validation,C,random_forest,2.0,0.49206349206349204,0.5090909090909091,0.48787878787878786,0.5555555555555556,0.15151515151515152,0.23809523809523808
test,C,logistic_regression,42.0,0.38095238095238093,0.4107142857142857,0.4775510204081633,0.35714285714285715,0.14285714285714285,0.20408163265306123
test,C,random_forest,0.0,0.4126984126984127,0.4464285714285714,0.49081632653061225,0.4166666666666667,0.14285714285714285,0.2127659574468085
test,C,random_forest,1.0,0.38095238095238093,0.41785714285714287,0.49795918367346936,0.3,0.08571428571428572,0.13333333333333333
test,C,random_forest,2.0,0.3968253968253968,0.43214285714285716,0.47346938775510194,0.36363636363636365,0.11428571428571428,0.17391304347826086
