split,experiment,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
test,A,logistic_regression,0.4126984126984127,,0.46071428571428574,,0.5581632653061225,,0.25,,0.02857142857142857,,0.05128205128205128,
test,A,random_forest,0.4708994708994709,0.009164289987136916,0.5130952380952382,0.008247860988423276,0.5622448979591836,0.025077970872335736,0.6071428571428571,0.030929478706587098,0.13333333333333333,0.01649572197684645,0.21853082318198594,0.024296024617060666
test,B,logistic_regression,0.4126984126984127,,0.45357142857142857,,0.5336734693877551,,0.375,,0.08571428571428572,,0.13953488372093023,
test,B,random_forest,0.4021164021164021,0.009164289987136916,0.4380952380952381,0.010309826235529035,0.5445578231292517,0.008310742668619519,0.3757575757575758,0.02099455524325912,0.11428571428571428,0.0,0.17520128824476652,0.0022313053881724775
test,C,logistic_regression,0.38095238095238093,,0.4107142857142857,,0.4775510204081633,,0.35714285714285715,,0.14285714285714285,,0.20408163265306123,
test,C,random_forest,0.3968253968253968,0.015873015873015872,0.43214285714285716,0.014285714285714277,0.4874149659863945,0.012594223524880047,0.3601010101010101,0.05841362701667079,0.11428571428571428,0.028571428571428567,0.17333744475280088,0.0397194401874916
test,baseline,majority_class,0.5555555555555556,,0.5,,0.5,,0.5555555555555556,,1.0,,0.7142857142857143,
test,baseline,previous_direction,0.5396825396825397,,0.5321428571428571,,0.5321428571428571,,0.5833333333333334,,0.6,,0.5915492957746479,
validation,A,logistic_regression,0.49206349206349204,,0.5151515151515151,,0.5818181818181818,,1.0,,0.030303030303030304,,0.058823529411764705,
validation,A,random_forest,0.49206349206349204,0.027492869961410763,0.5131313131313132,0.02711796718920966,0.4774410774410775,0.011965896056509684,0.611111111111111,0.24056261216234412,0.0707070707070707,0.03499092540543187,0.12662662662662663,0.061549353021716866
validation,B,logistic_regression,0.5555555555555556,,0.5757575757575758,,0.593939393939394,,1.0,,0.15151515151515152,,0.2631578947368421,
validation,B,random_forest,0.5026455026455027,0.024246432248443608,0.5186868686868688,0.024493647783802305,0.46902356902356906,0.0177367908297184,0.5833333333333334,0.08333333333333327,0.1818181818181818,0.030303030303030304,0.2764611787867602,0.04008562493866178
validation,C,logistic_regression,0.5555555555555556,,0.5742424242424242,,0.6121212121212121,,0.8571428571428571,,0.18181818181818182,,0.3,
validation,C,random_forest,0.5132275132275131,0.024246432248443583,0.5292929292929293,0.024163381240213465,0.4740740740740741,0.012219021758669374,0.612962962962963,0.07664519291324025,0.19191919191919193,0.03499092540543187,0.2915959148517288,0.04689444627599335
validation,baseline,majority_class,0.5238095238095238,,0.5,,0.5,,0.5238095238095238,,1.0,,0.6875,
validation,baseline,previous_direction,0.5555555555555556,,0.5545454545454546,,0.5545454545454546,,0.5757575757575758,,0.5757575757575758,,0.5757575757575758,
